feature,importance,fold
PREV_CODE_REJECT_REASON_XNA_MEAN,8,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,31,1
PREV_NAME_TYPE_SUITE_Family_MEAN,86,1
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,2,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,1,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,5,1
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,43,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,195,1
PREV_NAME_TYPE_SUITE_nan_MEAN,165,1
PREV_NAME_CLIENT_TYPE_New_MEAN,105,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,105,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,64,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Additional_Service_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,76,1
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,5,1
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,7,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,32,1
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,16,1
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,44,1
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,56,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,31,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_House_Construction_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,13,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,65,1
PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Photo___Cinema_Equipment_MEAN,41,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,37,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,5,1
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,31,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,32,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,83,1
PREV_NAME_PORTFOLIO_POS_MEAN,68,1
PREV_NAME_PORTFOLIO_XNA_MEAN,83,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,98,1
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,92,1
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,98,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
PREV_CHANNEL_TYPE_AP___Cash_loan__MEAN,70,1
PREV_CHANNEL_TYPE_Car_dealer_MEAN,0,1
