feature,importance,fold
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,54,1
PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Photo___Cinema_Equipment_MEAN,34,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,36,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,8,1
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,29,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,21,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,73,1
PREV_NAME_PORTFOLIO_POS_MEAN,43,1
PREV_NAME_PORTFOLIO_XNA_MEAN,33,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,48,1
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,68,1
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,68,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
PREV_CHANNEL_TYPE_AP___Cash_loan__MEAN,54,1
PREV_CHANNEL_TYPE_Car_dealer_MEAN,0,1
